iter	RMSE
0	1.379726096
1	1.333526675
2	1.294439427
3	1.260864152
4	1.232349215
5	1.204239581
6	1.178862594
7	1.154559283
8	1.129652246
9	1.103312021
10	1.090991991
11	1.08074747
12	1.064020195
13	1.056486962
14	1.040822868
15	1.025043451
16	1.010187598
17	0.9996255581
18	0.9926984397
19	0.9867152047
20	0.9813231335
21	0.9732593096
22	0.9631050003
23	0.9575822124
24	0.9486209285
25	0.9427135454
26	0.938521301
27	0.9335608063
28	0.9299328715
29	0.9259719649
30	0.9222816623
31	0.9195393084
32	0.9094908837
33	0.9059206461
34	0.8974626817
35	0.89454341
36	0.8916971478
37	0.889225679
38	0.8866487091
39	0.8829883163
40	0.8771247311
41	0.8755241788
42	0.8742835825
43	0.8715380417
44	0.8665592571
45	0.8648680182
46	0.8607545162
47	0.8596237188
48	0.8568136707
49	0.8545885874
50	0.8532593715
51	0.8516904636
52	0.8496053219
53	0.8481417983
54	0.8451797656
55	0.842334295
56	0.838568052
57	0.8359320786
58	0.8350803021
59	0.8330284412
60	0.8320925187
61	0.829257047
62	0.8279610275
63	0.8234806906
64	0.8221321599
65	0.8201361924
66	0.8195194313
67	0.8154825943
68	0.8079243412
69	0.80719025
70	0.8068408354
71	0.8051741187
72	0.8035443311
73	0.8027186871
74	0.8022519671
75	0.7992301079
76	0.7976874031
77	0.7963125444
78	0.7948799955
79	0.7918506012
80	0.7905312761
81	0.7840576975
82	0.7787609488
83	0.7775619582
84	0.7765007998
85	0.7759268992
86	0.7743391696
87	0.7732885557
88	0.7722884906
89	0.7713248492
90	0.7700447549
91	0.7692256174
92	0.7665616471
93	0.7657358588
94	0.7644730937
95	0.7635911748
96	0.7627797545
97	0.7617728231
98	0.7611213697
99	0.7592070762
