iter	Passed	Remaining
0	0	96
1	1	89
2	2	83
3	3	82
4	4	80
5	5	80
6	8	115
7	9	114
8	10	109
9	12	109
10	12	104
11	13	99
12	14	94
13	14	90
14	15	86
15	15	83
16	16	80
17	17	78
18	17	76
19	18	74
20	19	71
21	19	70
22	22	73
23	22	72
24	23	70
25	24	68
26	24	66
27	25	65
28	25	62
29	26	61
30	27	60
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	31	52
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	38	40
49	39	39
50	39	38
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	50	23
68	51	22
69	51	22
70	51	21
71	52	20
72	52	19
73	52	18
74	53	17
75	53	16
76	53	16
77	54	15
78	54	14
79	55	13
80	55	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	61	8
88	62	7
89	62	6
90	63	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	67	2
97	67	1
98	68	0
99	68	0
